Kanji,Reading,Meaning,VocabScore,FillingScore
生徒,せいと,Pupil,0,0
雪,ゆき,snow,0,0
叔父,おじさん,"uncle, middle aged gentleman",0,0
靴下,くつした,Socks,0,0
勉強,べんきょう,to study,0,0
旅行,りょこう,travel,0,0
並べる,ならべる,"to line up,to set up",0,0
家族,かぞく,Family,0,0
隣,となり,next door to,0,0
止まる,とまる,to come to a halt,0,0
便利,べんり,"useful, convenient",0,0
冷蔵庫,れいぞうこ,refrigerator,0,0
向こう,むこう,over there,0,0
質問,しつもん,Question,0,0
易しい,やさしい,"easy, simple",0,0
呼ぶ,よぶ,"to call out,to invite",0,0
速い,はやい,quick,0,0
上,うえ,on top of,0,0
八つ,やっつ,eight,0,0
二,に,two,0,0
