ICNUM,CPNM,DESCRIPTION,IDC,BIO_E,HVSTI,BLAI,FRGRW1,LAIMX1,FRGRW2,LAIMX2,DLAI,CHTMX,RDMX,T_OPT,T_BASE,CNYLD,CPYLD,BN1,BN2,BN3,BP1,BP2,BP3,WSYF,USLE_C,GSI,VPDFR,FRGMAX,WAVP,CO2HI,BIOEHI,RSDCO_PL,OV_N,CN2A,CN2B,CN2C,CN2D,FERTFIELD,ALAI_MIN,BIO_LEAF,PHU,CNOP,LAI_INIT,BIO_INIT,CURYR_INIT
89,WMEL,Watermelon,4,30,0.5,1.5,0.15,0.05,0.5,0.95,0.6,0.5,2,35,18,0.0117,0.0011,0.0663,0.0075,0.0048,0.0053,0.0025,0.0012,0.25,0.03,0.006,4,0.75,3,660,39,0.05,0.14,67,77,83,87,1,0,0,1500,1,0.1,10,10
90,PEPR,Bell Pepper,4,30,0.6,5,0.15,0.05,0.5,0.95,0.6,0.5,1.2,27,18,0.0188,0.003,0.06,0.035,0.025,0.0053,0.002,0.0012,0.25,0.03,0.005,4,0.75,8,660,39,0.05,0.14,67,77,83,87,1,0,0,1500,1,0.1,10,10
91,STRW,Strawberry,6,30,0.45,3,0.15,0.05,0.5,0.95,0.6,0.5,0.6,32,10,0.0116,0.0023,0.0663,0.0255,0.0148,0.0053,0.002,0.0012,0.25,0.03,0.006,4,0.75,8,660,39,0.05,0.14,67,77,83,87,1,0,0,1500,1,0.1,10,10
92,TOMA,Tomato,4,30,0.33,3,0.15,0.05,0.5,0.95,0.95,0.5,2,22,10,0.0235,0.0048,0.0663,0.03,0.025,0.0053,0.0035,0.0025,0.15,0.03,0.008,4,0.75,8,660,39,0.05,0.14,67,77,83,87,1,0,0,1500,1,0.1,10,10
93,APPL,Apple,7,15,0.1,4,0.1,0.15,0.5,0.75,0.99,3.5,2,20,7,0.0019,0.0004,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.007,4,0.75,3,660,20,0.05,0.01,25,25,25,25,0,0.75,0.3,1500,1,0.1,10,10
94,PINE,Pine,7,15,0.76,5,0.15,0.7,0.25,0.99,0.99,10,3.5,30,0,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.6,0.001,0.002,4,0.75,8,660,16,0.05,0.14,62,73,81,84,1,0.75,0.3,1500,1,0.1,10,10
95,OAK,Oak,7,15,0.76,5,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.002,4,0.75,8,660,16,0.05,0,63,74,82,85,1,0.75,0.3,1500,1,0.1,10,10
96,POPL,Poplar,7,30,0.76,5,0.05,0.05,0.4,0.95,0.99,7.5,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.01,0.001,0.004,4,0.75,8,660,31,0.05,0,64,75,83,86,1,0.75,0.3,1500,1,0.1,10,10
97,MESQ,Honey Mesquite,7,16.1,0.05,1.25,0.05,0.05,0.4,0.95,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.01,0.001,0.004,4,0.75,8,660,18,0.05,0,65,76,84,87,1,0.75,0.3,1500,1,0.1,10,10
98,BARE,Not Seeded,6,34,0.9,2.5,0.05,0.1,0.25,0.7,0.35,1,2,25,12,0.016,0.0022,0.02,0.012,0.005,0.0014,0.001,0.0007,0.9,0.003,0.005,4,0.75,10,660,39,0.05,0.15,49,69,79,84,0,0,0,1500,1,0.1,10,10
201,HAY_APEX_1,Hay APEX landuse #1,6,35,0.5,5,5.05,15.01,15.95,50.95,0.8,2,2,27.5,10,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.45,0.003,0.007,4,0.75,7,660.4,35,0.05,0.3,31,59,72,79,1,0,0,1500,1,0.1,10,10
202,HAY_APEX_3,Hay APEX landuse #3,6,35,0.5,5,5.05,15.01,15.95,50.95,0.8,2,2,27.5,10,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.45,0.003,0.007,4,0.75,7,660.4,35,0.05,0.3,31,59,72,79,1,0,0,1500,1,0.1,10,10
203,HAY_APEX_2,Hay APEX landuse #2,6,35,0.5,5,5.05,15.01,15.95,50.95,0.8,2,2,27.5,10,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.45,0.003,0.007,4,0.75,7,660.4,35,0.05,0.3,31,59,72,79,1,0,0,1500,1,0.1,10,10
204,HAY_APEX_21,Hay APEX landuse #21,6,35,0.5,5,5.05,15.01,15.95,50.95,0.8,2,2,27.5,10,0.0199,0.0032,0.044,0.0164,0.0128,0.006,0.0022,0.0018,0.45,0.003,0.007,4,0.75,7,660.4,35,0.05,0.3,31,59,72,79,1,0,0,1500,1,0.1,10,10
205,FRST_APEX_21,Forest-Mixed APEX landuse #21,7,16,0.75,5,0.051,0.154,0.155,0.308,0.75,20,2,25,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.005,4,0.75,8,660.2,16,0.05,0.1,36,60,73,79,0,0.75,0.3,1500,1,0.1,10,10
206,FRST_APEX_28,Forest-Mixed APEX landuse #28,7,16,0.75,5,0.051,0.154,0.155,0.308,0.75,20,2,25,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.005,4,0.75,8,660.2,16,0.05,0.1,36,60,73,79,0,0.75,0.3,1500,1,0.1,10,10
207,FRST_APEX_2,Forest-Mixed APEX landuse #2,7,16,0.75,5,0.051,0.154,0.155,0.308,0.75,20,2,25,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.005,4,0.75,8,660.2,16,0.05,0.1,36,60,73,79,0,0.75,0.3,1500,1,0.1,10,10
208,FRST_APEX_1,Forest-Mixed APEX landuse #1,7,16,0.75,5,0.051,0.154,0.155,0.308,0.75,20,2,25,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.005,4,0.75,8,660.2,16,0.05,0.1,36,60,73,79,0,0.75,0.3,1500,1,0.1,10,10
209,WETL_APEX_1,Wetlands-Mixed APEX landuse #1,6,30,0.05,5,5.1,5.05,15.5,40.95,0.99,7.5,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.003,0.007,4,0.75,8,660.41,30,0.05,0.05,49,69,79,84,0,0,0,1500,1,0.1,10,10
210,WETL_APEX_2,Wetlands-Mixed APEX landuse #2,6,30,0.05,5,5.1,5.05,15.5,40.95,0.99,7.5,3.5,30,10,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.003,0.007,4,0.75,8,660.41,30,0.05,0.05,49,69,79,84,0,0,0,1500,1,0.1,10,10
211,WETF_APEX_2,Wetlands-Forested APEX landuse #2,7,16,0.75,5,5.1,15.4,15.5,30.8,0.75,20,2,25,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.005,4,0.75,8,660.2,16,0.05,0.05,45,66,77,83,0,0,0,1500,1,0.1,10,10
212,WETF_APEX_1,Wetlands-Forested APEX landuse #1,7,16,0.75,5,5.1,15.4,15.5,30.8,0.75,20,2,25,5,0.0015,0.0003,0.006,0.002,0.0015,0.0007,0.0004,0.0003,0.05,0.001,0.005,4,0.75,8,660.2,16,0.05,0.05,45,66,77,83,0,0,0,1500,1,0.1,10,10
213,WETN_APEX_28,Wetlands-Non-Forested APEX landuse #28,6,25,0.25,6,5.05,15.01,15.95,50.95,0.8,0.8,2,25,10,0.0136,0.0013,0.05,0.02,0.01,0.006,0.003,0.0018,0.25,0.003,0.008,4,0.75,8.5,660.34,25,0.05,0.05,49,69,79,84,0,0,0,1500,1,0.1,10,10
214,WETN_APEX_2,Wetlands-Non-Forested APEX landuse #2,6,25,0.25,6,5.05,15.01,15.95,50.95,0.8,0.8,2,25,10,0.0136,0.0013,0.05,0.02,0.01,0.006,0.003,0.0018,0.25,0.003,0.008,4,0.75,8.5,660.34,25,0.05,0.05,49,69,79,84,0,0,0,1500,1,0.1,10,10
215,WETN_APEX_1,Wetlands-Non-Forested APEX landuse #1,6,25,0.25,6,5.05,15.01,15.95,50.95,0.8,0.8,2,25,10,0.0136,0.0013,0.05,0.02,0.01,0.006,0.003,0.0018,0.25,0.003,0.008,4,0.75,8.5,660.34,25,0.05,0.05,49,69,79,84,0,0,0,1500,1,0.1,10,10
216,PAST_APEX_2,Pasture APEX landuse #2,6,16,0.15,7.6,0.0501,0.051,0.1595,0.257,0.35,0.8,2,25,8,0.018,0.001,0.03,0.017,0.01,0.0021,0.001,0.0008,0.08,0.003,0.007,4,0.75,8,660.18,16,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
217,PAST_APEX_1,Pasture APEX landuse #1,6,16,0.15,7.6,0.0501,0.051,0.1595,0.257,0.35,0.8,2,25,8,0.018,0.001,0.03,0.017,0.01,0.0021,0.001,0.0008,0.08,0.003,0.007,4,0.75,8,660.18,16,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
218,PAST_APEX_3,Pasture APEX landuse #3,6,16,0.15,7.6,0.0501,0.051,0.1595,0.257,0.35,0.8,2,25,8,0.018,0.001,0.03,0.017,0.01,0.0021,0.001,0.0008,0.08,0.003,0.007,4,0.75,8,660.18,16,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
219,PAST_APEX_21,Pasture APEX landuse #21,6,16,0.15,7.6,0.0501,0.051,0.1595,0.257,0.35,0.8,2,25,8,0.018,0.001,0.03,0.017,0.01,0.0021,0.001,0.0008,0.08,0.003,0.007,4,0.75,8,660.18,16,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
220,PAST_APEX_9,Pasture APEX landuse #9,6,16,0.15,7.6,0.0501,0.051,0.1595,0.257,0.35,0.8,2,25,8,0.018,0.001,0.03,0.017,0.01,0.0021,0.001,0.0008,0.08,0.003,0.007,4,0.75,8,660.18,16,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
221,PAST_APEX_22,Pasture APEX landuse #22,6,16,0.15,7.6,0.0501,0.051,0.1595,0.257,0.35,0.8,2,25,8,0.018,0.001,0.03,0.017,0.01,0.0021,0.001,0.0008,0.08,0.003,0.007,4,0.75,8,660.18,16,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
222,RNGE_APEX_21,Range-Grasses APEX landuse #21,6,30,0.02,5,5.01,15.01,15.1,50.95,0.99,1,2,25,8,0.015,0.0016,0.0193,0.011,0.0083,0.0028,0.0016,0.0012,0.01,0.003,0.005,4,0.75,6,660.41,30,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
223,RNGE_APEX_1,Range-Grasses APEX landuse #1,6,30,0.02,5,5.01,15.01,15.1,50.95,0.99,1,2,25,8,0.015,0.0016,0.0193,0.011,0.0083,0.0028,0.0016,0.0012,0.01,0.003,0.005,4,0.75,6,660.41,30,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
224,RNGE_APEX_2,Range-Grasses APEX landuse #2,6,30,0.02,5,5.01,15.01,15.1,50.95,0.99,1,2,25,8,0.015,0.0016,0.0193,0.011,0.0083,0.0028,0.0016,0.0012,0.01,0.003,0.005,4,0.75,6,660.41,30,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
225,RNGE_APEX_3,Range-Grasses APEX landuse #3,6,30,0.02,5,5.01,15.01,15.1,50.95,0.99,1,2,25,8,0.015,0.0016,0.0193,0.011,0.0083,0.0028,0.0016,0.0012,0.01,0.003,0.005,4,0.75,6,660.41,30,0.05,0.15,49,69,79,84,1,0,0,1500,1,0.1,10,10
226,RNGB_APEX_21,Range-Brush APEX landuse #21,6,10,0.05,1.35,5.1,5.05,15.5,50.8,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.05,0.003,0.007,4,0.75,8,660.14,10,0.05,0.15,39,61,74,80,1,0,0,1500,1,0.1,10,10
227,RNGB_APEX_28,Range-Brush APEX landuse #28,6,10,0.05,1.35,5.1,5.05,15.5,50.8,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.05,0.003,0.007,4,0.75,8,660.14,10,0.05,0.15,39,61,74,80,1,0,0,1500,1,0.1,10,10
228,RNGB_APEX_2,Range-Brush APEX landuse #2,6,10,0.05,1.35,5.1,5.05,15.5,50.8,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.05,0.003,0.007,4,0.75,8,660.14,10,0.05,0.15,39,61,74,80,1,0,0,1500,1,0.1,10,10
229,RNGB_APEX_1,Range-Brush APEX landuse #1,6,10,0.05,1.35,5.1,5.05,15.5,50.8,0.99,6,3.5,30,10,0.0015,0.0003,0.02,0.01,0.008,0.0007,0.0004,0.0003,0.05,0.003,0.007,4,0.75,8,660.14,10,0.05,0.15,39,61,74,80,1,0,0,1500,1,0.1,10,10
230,WATR_APEX_21,Water APEX landuse #21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,92,92,92,92,0,0,0,1500,1,0.1,10,10
231,WATR_APEX_2,Water APEX landuse #2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,92,92,92,92,0,0,0,1500,1,0.1,10,10
232,WATR_APEX_1,Water APEX landuse #1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,92,92,92,92,0,0,0,1500,1,0.1,10,10
233,WATR_APEX_3,Water APEX landuse #3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,92,92,92,92,0,0,0,1500,1,0.1,10,10
234,SWHT_APEX_1,Spring Wheat APEX landuse #1,5,30,0.42,5,5.01,20.1,15.1,49.95,0.6,1,1.3,15,0,0.0303,0.0038,0.0663,0.025,0.0148,0.0084,0.0032,0.0019,0.21,0.03,0.007,4,0.75,6,660.41,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
235,SWHT_APEX_2,Spring Wheat APEX landuse #2,5,30,0.42,5,5.01,20.1,15.1,49.95,0.6,1,1.3,15,0,0.0303,0.0038,0.0663,0.025,0.0148,0.0084,0.0032,0.0019,0.21,0.03,0.007,4,0.75,6,660.41,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
236,SWHT_APEX_3,Spring Wheat APEX landuse #3,5,30,0.42,5,5.01,20.1,15.1,49.95,0.6,1,1.3,15,0,0.0303,0.0038,0.0663,0.025,0.0148,0.0084,0.0032,0.0019,0.21,0.03,0.007,4,0.75,6,660.41,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
237,BARL_APEX_1,Spring Barley APEX landuse #1,5,30,0.4,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0236,0.0029,0.059,0.022,0.0131,0.0057,0.0022,0.0013,0.21,0.01,0.006,4,0.75,7,660.45,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
238,BARL_APEX_2,Spring Barley APEX landuse #2,5,30,0.4,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0236,0.0029,0.059,0.022,0.0131,0.0057,0.0022,0.0013,0.21,0.01,0.006,4,0.75,7,660.45,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
239,BARL_APEX_3,Spring Barley APEX landuse #3,5,30,0.4,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0236,0.0029,0.059,0.022,0.0131,0.0057,0.0022,0.0013,0.21,0.01,0.006,4,0.75,7,660.45,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
240,BARL_APEX_21,Spring Barley APEX landuse #21,5,30,0.4,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0236,0.0029,0.059,0.022,0.0131,0.0057,0.0022,0.0013,0.21,0.01,0.006,4,0.75,7,660.45,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
241,BARL_APEX_22,Spring Barley APEX landuse #22,5,30,0.4,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0236,0.0029,0.059,0.022,0.0131,0.0057,0.0022,0.0013,0.21,0.01,0.006,4,0.75,7,660.45,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
242,BARL_APEX_9,Spring Barley APEX landuse #9,5,30,0.4,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0236,0.0029,0.059,0.022,0.0131,0.0057,0.0022,0.0013,0.21,0.01,0.006,4,0.75,7,660.45,30,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
243,OATS_APEX_2,Oats APEX landuse #2,5,35,0.42,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0316,0.0057,0.058,0.0224,0.013,0.0053,0.002,0.0012,0.21,0.03,0.007,4,0.75,7,660.47,35,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
244,OATS_APEX_3,Oats APEX landuse #3,5,35,0.42,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0316,0.0057,0.058,0.0224,0.013,0.0053,0.002,0.0012,0.21,0.03,0.007,4,0.75,7,660.47,35,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
245,OATS_APEX_21,Oats APEX landuse #21,5,35,0.42,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0316,0.0057,0.058,0.0224,0.013,0.0053,0.002,0.0012,0.21,0.03,0.007,4,0.75,7,660.47,35,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
259,WWHT_APEX_3,Winter Wheat  APEX landuse #3,5,35,0.45,6,0.0501,0.1501,0.151,0.5095,0.6,1,2,15,0,0.0249,0.0033,0.06,0.023,0.0134,0.0084,0.0032,0.0019,0.21,0.03,0.007,4,0.75,6,660.47,35,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
260,OATS_APEX_1,Oats APEX landuse #1,5,35,0.42,6,0.0501,0.1501,0.151,0.5095,0.8,1,2,15,0,0.0316,0.0057,0.058,0.0224,0.013,0.0053,0.002,0.0012,0.21,0.03,0.007,4,0.75,7,660.47,35,0.05,0.14,62,73,81,84,1,0,0,1500,1,0.1,10,10
261,ALFA_APEX_1,Alfalfa APEX landuse #1,3,20,0.02,5,0.0501,0.1501,0.151,0.5095,0.9,1.25,2,25,1,0.0601,0.0066,0.05,0.0283,0.024,0.0071,0.0024,0.0019,0.01,0.01,0.01,4,0.75,4,660.27,20,0.05,0.06,31,59,72,79,1,0,0,1500,1,0.1,10,10
262,ALFA_APEX_2,Alfalfa APEX landuse #2,3,20,0.02,5,0.0501,0.1501,0.151,0.5095,0.9,1.25,2,25,1,0.0601,0.0066,0.05,0.0283,0.024,0.0071,0.0024,0.0019,0.01,0.01,0.01,4,0.75,4,660.27,20,0.05,0.06,31,59,72,79,1,0,0,1500,1,0.1,10,10
263,ALFA_APEX_3,Alfalfa APEX landuse #3,3,20,0.02,5,0.0501,0.1501,0.151,0.5095,0.9,1.25,2,25,1,0.0601,0.0066,0.05,0.0283,0.024,0.0071,0.0024,0.0019,0.01,0.01,0.01,4,0.75,4,660.27,20,0.05,0.06,31,59,72,79,1,0,0,1500,1,0.1,10,10
264,ALFA_APEX_21,Alfalfa APEX landuse #21,3,20,0.02,5,0.0501,0.1501,0.151,0.5095,0.9,1.25,2,25,1,0.0601,0.0066,0.05,0.0283,0.024,0.0071,0.0024,0.0019,0.01,0.01,0.01,4,0.75,4,660.27,20,0.05,0.06,31,59,72,79,1,0,0,1500,1,0.1,10,10
